Hồ chứa,LVS/Hồ/Ngày/Giờ,thoi_gian,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
Hòa Bình,1,15/01/2018,Hồng,115.54,520,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,7,15/01/2018,Hồng,115.49,1450,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,13,15/01/2018,Hồng,115.34,513,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,19,15/01/2018,Hồng,115.33,1833,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,1,16/01/2018,Hồng,115.20,704,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,7,16/01/2018,Hồng,115.12,1176,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,13,16/01/2018,Hồng,115.12,1930,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,19,16/01/2018,Hồng,115.03,1080,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,1,17/01/2018,Hồng,114.92,906,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,7,17/01/2018,Hồng,114.86,1370,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,13,17/01/2018,Hồng,114.79,1290,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,19,17/01/2018,Hồng,114.66,722,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,1,18/01/2018,Hồng,114.60,1378,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,7,18/01/2018,Hồng,114.50,1030,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,13,18/01/2018,Hồng,114.79,1290,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,19,18/01/2018,Hồng,114.66,722,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,1,19/01/2018,Hồng,114.19,636,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,7,19/01/2018,Hồng,114.16,1260,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,13,19/01/2018,Hồng,114.11,949,700,1400,700,--,0,--,--,--,--,Đúng
Hòa Bình,19,19/01/2018,Hồng,114.14,1140,700,843,143,--,0,--,--,--,--,Đúng
Hòa Bình,1,20/01/2018,Hồng,114.20,1040,700,246,-454,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,20/01/2018,Hồng,114.24,619,700,245,-455,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,20/01/2018,Hồng,11436,1365,700,245,-455,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,20/01/2018,Hồng,114.39,8765,700,445,-255,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,21/01/2018,Hồng,114.41,522,700,245,-455,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,21/01/2018,Hồng,114.41,255,700,266,-434,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,21/01/2018,Hồng,114.56,1180,700,249,-451,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,21/01/2018,Hồng,114.56,1380,700,1140,440,--,0,--,--,--,--,Đúng
Hòa Bình,1,22/01/2018,Hồng,114.59,542,700,268,-432,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,22/01/2018,Hồng,114.64,867,700,492,-208,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,22/01/2018,Hồng,114.73,1090,700,269,-431,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,22/01/2018,Hồng,114.65,793,700,1130,430,--,0,--,--,--,--,Đúng
Hòa Bình,1,23/01/2018,Hồng,114.71,245,700,224,-476,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,23/01/2018,Hồng,114.86,1640,700,224,-476,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,23/01/2018,Hồng,114.92,1050,700,448,-252,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,23/01/2018,Hồng,114.90,1140,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,1,24/01/2018,Hồng,114.92,793,700,233,-467,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,24/01/2018,Hồng,114.96,606,700,233,-467,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,24/01/2018,Hồng,114.95,993,700,1070,370,--,0,--,--,--,--,Đúng
Hòa Bình,19,24/01/2018,Hồng,114.86,1090,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,1,25/01/2018,Hồng,114.75,905,700,1915,1215,--,0,--,--,--,--,Đúng
Hòa Bình,7,25/01/2018,Hồng,114.67,1190,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,13,25/01/2018,Hồng,114.65,1450,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,19,25/01/2018,Hồng,114.59,1420,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,1,26/01/2018,Hồng,114.41,759,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,7,26/01/2018,Hồng,114.41,1940,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,13,26/01/2018,Hồng,114.33,1190,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,19,26/01/2018,Hồng,114.20,729,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,1,27/01/2018,Hồng,114.05,544,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,7,27/01/2018,Hồng,114.92,744,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,13,27/01/2018,Hồng,113.83,1120,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,19,27/01/2018,Hồng,113.65,1120,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,1,28/01/2018,Hồng,113.59,1400,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,7,28/01/2018,Hồng,113.44,565,700,1930,1230,--,0,--,--,--,--,Đúng
Hòa Bình,13,28/01/2018,Hồng,113.28,475,700,1940,1240,--,0,--,--,--,--,Đúng
Hòa Bình,19,28/01/2018,Hồng,113.14,475,700,1940,1240,--,0,--,--,--,--,Đúng
Hòa Bình,1,29/01/2018,Hồng,112.97,401,700,1940,1240,--,0,--,--,--,--,Đúng
Hòa Bình,7,29/01/2018,Hồng,112.86,1450,700,1940,1240,--,0,--,--,--,--,Đúng
Hòa Bình,13,29/01/2018,Hồng,112.69,394,700,1940,1240,--,0,--,--,--,--,Đúng
Hòa Bình,19,29/01/2018,Hồng,112.46,317,700,1940,1240,--,0,--,--,--,--,Đúng
Hòa Bình,1,30/01/2018,Hồng,112.36,593,700,1950,1250,--,0,--,--,--,--,Đúng
Hòa Bình,7,30/01/2018,Hồng,112.23,610,700,1950,1250,--,0,--,--,--,--,Đúng
Hòa Bình,13,30/01/2018,Hồng,112.07,479,700,1950,1250,--,0,--,--,--,--,Đúng
Hòa Bình,19,30/01/2018,Hồng,111.80,431,700,1960,1260,--,0,--,--,--,--,Đúng
Hòa Bình,1,01/02/2018,Hồng,111.15,1170,800,1970,1170,--,0,--,--,--,--,Đúng
Hòa Bình,7,01/02/2018,Hồng,110.98,458,800,1970,1170,--,0,--,--,--,--,Đúng
Hòa Bình,13,01/02/2018,Hồng,110.78,360,800,1970,1170,--,0,--,--,--,--,Đúng
Hòa Bình,19,01/02/2018,Hồng,110.62,535,800,1970,1170,--,0,--,--,--,--,Đúng
Hòa Bình,1,02/02/2018,Hồng,110.51,1190,800,1980,1180,--,0,--,--,--,--,Đúng
Hòa Bình,7,02/02/2018,Hồng,110.30,377,800,1980,1180,--,0,--,--,--,--,Đúng
Hòa Bình,13,02/02/2018,Hồng,110.16,740,800,1980,1180,--,0,--,--,--,--,Đúng
Hòa Bình,19,02/02/2018,Hồng,109.99,487,800,1980,1180,--,0,--,--,--,--,Đúng
Hòa Bình,1,03/02/2018,Hồng,109.81,401,800,1990,1190,--,0,--,--,--,--,Đúng
Hòa Bình,7,03/02/2018,Hồng,109.64,492,800,1990,1190,--,0,--,--,--,--,Đúng
Hòa Bình,13,03/02/2018,Hồng,109.62,977,800,282,-518,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,03/02/2018,Hồng,109.78,1730,800,280,-520,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,04/02/2018,Hồng,109.88,1390,800,545,-255,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,04/02/2018,Hồng,109.77,140,800,753,-47,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,04/02/2018,Hồng,109.85,998,800,261,-539,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,04/02/2018,Hồng,109.95,1190,800,278,-522,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,05/02/2018,Hồng,109.89,140,800,214,-586,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,05/02/2018,Hồng,110,1340,800,445,-355,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,05/02/2018,Hồng,110.09,1380,800,544,-256,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,05/02/2018,Hồng,109.96,856,800,1200,400,--,0,--,--,--,--,Đúng
Hòa Bình,1,06/02/2018,Hồng,109.74,817,800,1980,1180,--,0,--,--,--,--,Đúng
Hòa Bình,7,06/02/2018,Hồng,109.74,817,800,1980,1180,--,0,--,--,--,--,Đúng
Hòa Bình,13,06/02/2018,Hồng,10960,756,800,1980,1180,--,0,--,--,--,--,Đúng
Hòa Bình,19,06/02/2018,Hồng,109.45,671,800,1980,1180,--,0,--,--,--,--,Đúng
Hòa Bình,1,07/02/2018,Hồng,109.22,450,800,1990,1190,--,0,--,--,--,--,Đúng
Hòa Bình,7,07/02/2018,Hồng,109.03,321,800,1990,1190,--,0,--,--,--,--,Đúng
Hòa Bình,13,07/02/2018,Hồng,108.68,656,800,1990,1190,--,0,--,--,--,--,Đúng
Hòa Bình,19,07/02/2018,Hồng,108.68,404,800,2000,1200,--,0,--,--,--,--,Đúng
Hòa Bình,1,08/02/2018,Hồng,108.54,783,800,2000,1200,--,0,--,--,--,--,Đúng
Hòa Bình,7,08/02/2018,Hồng,108.36,406,800,2000,1200,--,0,--,--,--,--,Đúng
Hòa Bình,13,08/02/2018,Hồng,108.17,302,800,2000,1200,--,0,--,--,--,--,Đúng
Hòa Bình,19,08/02/2018,Hồng,108.01,618,800,2010,1210,--,0,--,--,--,--,Đúng
Hòa Bình,1,09/02/2018,Hồng,107.86,381,800,2040,1240,--,0,--,--,--,--,Đúng
Hòa Bình,7,09/02/2018,Hồng,107.68,460,800,2010,1210,--,0,--,--,--,--,Đúng
Hòa Bình,13,09/02/2018,Hồng,107.51,536,800,2010,1210,--,0,--,--,--,--,Đúng
Hòa Bình,19,09/02/2018,Hồng,106.60,665,800,2050,1250,--,0,--,--,--,--,Đúng
Hòa Bình,1,10/02/2018,Hồng,107.16,381,800,2040,1240,--,0,--,--,--,--,Đúng
Hòa Bình,7,10/02/2018,Hồng,106.95,226,800,2050,1250,--,0,--,--,--,--,Đúng
Hòa Bình,13,10/02/2018,Hồng,106.76,403,800,2050,1250,--,0,--,--,--,--,Đúng
Hòa Bình,19,10/02/2018,Hồng,106.60,665,800,2050,1250,--,0,--,--,--,--,Đúng
Hòa Bình,1,11/02/2018,Hồng,106.40,235,800,2060,1260,--,0,--,--,--,--,Đúng
Hòa Bình,7,11/02/2018,Hồng,106.22,469,800,2060,1260,--,0,--,--,--,--,Đúng
Hòa Bình,13,11/02/2018,Hồng,106.01,240,800,2060,1260,--,0,--,--,--,--,Đúng
Hòa Bình,19,11/02/2018,Hồng,105.84,604,800,2060,1260,--,0,--,--,--,--,Đúng
Hòa Bình,1,12/02/2018,Hồng,105.63,340,800,2070,1270,--,0,--,--,--,--,Đúng
Hòa Bình,7,12/02/2018,Hồng,105.43,351,800,2070,1270,--,0,--,--,--,--,Đúng
Hòa Bình,13,12/02/2018,Hồng,105.25,350,800,1610,810,--,0,--,--,--,--,Đúng
Hòa Bình,19,12/02/2018,Hồng,105.23,1230,800,1600,800,--,0,--,--,--,--,Đúng
Hòa Bình,1,13/02/2018,Hồng,105.10,150,800,1180,380,--,0,--,--,--,--,Đúng
Hòa Bình,7,13/02/2018,Hồng,104.95,51,800,1330,530,--,0,--,--,--,--,Đúng
Hòa Bình,13,13/02/2018,Hồng,104.80,50,800,1310,510,--,0,--,--,--,--,Đúng
Hòa Bình,19,13/02/2018,Hồng,104.75,854,800,241,-559,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,14/02/2018,Hồng,104.68,40,800,224,-576,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,14/02/2018,Hồng,104.65,40,800,235,-565,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,14/02/2018,Hồng,104.76,854,800,241,-559,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,14/02/2018,Hồng,104.70,40,800,241,-559,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,15/02/2018,Hồng,104.75,40,800,252,-548,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,15/02/2018,Hồng,104.80,697,800,228,-572,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,15/02/2018,Hồng,104.83,521,800,239,-561,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,15/02/2018,Hồng,104.83,428,800,577,-223,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,16/02/2018,Hồng,104.80,330,800,554,-246,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,16/02/2018,Hồng,104.77,572,800,1060,260,--,0,--,--,--,--,Đúng
Hòa Bình,13,16/02/2018,Hồng,104.83,521,800,239,-561,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,16/02/2018,Hồng,104.83,428,800,577,-223,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,17/02/2018,Hồng,104.65,40,800,289,-511,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,17/02/2018,Hồng,104.65,695,800,1060,260,--,0,--,--,--,--,Đúng
Hòa Bình,13,17/02/2018,Hồng,104.74,711,800,831,31,--,0,--,--,--,--,Đúng
Hòa Bình,19,17/02/2018,Hồng,104.76,822,800,433,-367,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,18/02/2018,Hồng,104.72,527,800,252,-548,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,18/02/2018,Hồng,104.70,187,800,252,-548,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,18/02/2018,Hồng,104.80,351,800,240,-560,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,18/02/2018,Hồng,104.79,78,800,228,-572,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,19/02/2018,Hồng,104.76,527,800,252,-548,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,19/02/2018,Hồng,104.81,187,800,252,-548,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,19/02/2018,Hồng,104.80,351,800,240,-560,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,19/02/2018,Hồng,104.79,78,800,228,-572,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,20/02/2018,Hồng,104.70,40,800,573,-227,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,20/02/2018,Hồng,104.60,40,800,1320,520,--,0,--,--,--,--,Đúng
Hòa Bình,13,20/02/2018,Hồng,104.44,40,800,1380,580,--,0,--,--,--,--,Đúng
Hòa Bình,19,20/02/2018,Hồng,104.30,409,800,1710,910,--,0,--,--,--,--,Đúng
Hòa Bình,1,21/02/2018,Hồng,104.18,502,800,1500,700,--,0,--,--,--,--,Đúng
Hòa Bình,7,21/02/2018,Hồng,103.98,40,800,1110,310,--,0,--,--,--,--,Đúng
Hòa Bình,13,21/02/2018,Hồng,103.72,40,800,1590,790,--,0,--,--,--,--,Đúng
Hòa Bình,19,21/02/2018,Hồng,103.60,1080,800,2090,1290,--,0,--,--,--,--,Đúng
Hòa Bình,1,22/02/2018,Hồng,103.41,733,800,1880,1080,--,0,--,--,--,--,Đúng
Hòa Bình,7,22/02/2018,Hồng,103.24,468,800,1880,1080,--,0,--,--,--,--,Đúng
Hòa Bình,13,22/02/2018,Hồng,103.04,303,800,1590,790,--,0,--,--,--,--,Đúng
Hòa Bình,19,22/02/2018,Hồng,103.02,1190,800,1340,540,--,0,--,--,--,--,Đúng
Hòa Bình,1,23/02/2018,Hồng,103.04,479,800,459,-341,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,23/02/2018,Hồng,103.07,712,800,918,118,--,459,--,--,--,--,Đúng
Hòa Bình,13,23/02/2018,Hồng,103.09,664,800,975,175,--,0,--,--,--,--,Đúng
Hòa Bình,19,23/02/2018,Hồng,103.09,507,800,487,-313,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,24/02/2018,Hồng,103.30,1000,800,225,-575,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,24/02/2018,Hồng,103.29,290,800,140,-660,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,24/02/2018,Hồng,103.24,281,800,243,-557,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,24/02/2018,Hồng,103.22,233,800,499,-301,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,25/02/2018,Hồng,103.34,233,800,499,-301,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,25/02/2018,Hồng,103.24,281,800,243,-557,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,25/02/2018,Hồng,103.24,281,800,243,-557,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,25/02/2018,Hồng,103.22,223,800,499,-301,--,0,--,--,--,--,Không Đúng
Hòa Bình,0,26/02/2018,Hồng,103.23,384,800,274,-526,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,26/02/2018,Hồng,103.32,860,800,279,-521,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,26/02/2018,Hồng,103.40,1200,800,903,103,--,0,--,--,--,--,Đúng
Hòa Bình,19,26/02/2018,Hồng,103.60,2020,800,807,7,--,0,--,--,--,--,Đúng
Hòa Bình,1,27/02/2018,Hồng,103.80,1960,800,266,-534,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,27/02/2018,Hồng,104.05,2090,800,254,-546,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,27/02/2018,Hồng,104.30,2550,800,1410,610,--,0,--,--,--,--,Đúng
Hòa Bình,19,27/02/2018,Hồng,104.50,2610,800,1270,470,--,0,--,--,--,--,Đúng
Hòa Bình,1,28/02/2018,Hồng,104.70,2640,800,922,122,--,0,--,--,--,--,Đúng
Hòa Bình,7,28/02/2018,Hồng,104.80,1800,800,690,-110,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,28/02/2018,Hồng,105.12,2760,800,225,-575,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,28/02/2018,Hồng,105.35,2260,800,264,-536,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,01/03/2018,Hồng,105.61,2500,600,251,-349,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,01/03/2018,Hồng,105.86,210,600,858,258,--,0,--,--,--,--,Đúng
Hòa Bình,13,01/03/2018,Hồng,106.08,2500,600,609,9,--,0,--,--,--,--,Đúng
Hòa Bình,19,01/03/2018,Hồng,106.26,2390,600,419,-181,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,02/03/2018,Hồng,106.54,2700,600,288,-312,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,02/03/2018,Hồng,106.76,2160,600,237,-363,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,02/03/2018,Hồng,106.99,2770,600,990,390,--,0,--,--,--,--,Đúng
Hòa Bình,19,02/03/2018,Hồng,107.19,2770,600,990,390,--,0,--,--,--,--,Đúng
Hòa Bình,1,03/03/2018,Hồng,107.52,1330,600,236,-364,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,03/03/2018,Hồng,107.83,2790,600,235,-365,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,03/03/2018,Hồng,108.05,2457,600,398,-202,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,03/03/2018,Hồng,108.30,2460,600,398,-202,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,04/03/2018,Hồng,108.65,2350,600,233,-367,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,04/03/2018,Hồng,108.70,642,600,233,-367,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,04/03/2018,Hồng,108.77,871,600,256,-344,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,04/03/2018,Hồng,108.70,871,600,256,-344,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,05/03/2018,Hồng,109.08,1820,600,292,-308,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,05/03/2018,Hồng,109.32,2520,600,637,37,--,0,--,--,--,--,Đúng
Hòa Bình,13,05/03/2018,Hồng,109.50,2450,600,599,-1,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,05/03/2018,Hồng,109.78,2960,600,499,-101,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,06/03/2018,Hồng,110.25,3160,600,446,-154,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,06/03/2018,Hồng,110.35,2960,600,541,-59,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,06/03/2018,Hồng,110.52,2760,600,578,-22,--,0,--,--,--,--,Không Đúng
